File: MNCLW00069.txt
Search Method: Trie (MWE + Single-Word)
Total runtime: 0.089090s
Found terms: 2604

Term                            Line                  Word Place          

банк                            6, 11, 11, 11         1, 5, 12, 21        
                                13, 13, 16, 18        11, 15, 6, 4        
                                20, 30, 31, 33        4, 8, 7, 8          
                                34, 38, 39, 41        8, 6, 10, 18        
                                44, 47, 47, 50        5, 7, 27, 4         
                                53, 55, 55, 55        13, 8, 13, 23       
                                55, 55, 55, 55        34, 41, 56, 66      
                                58, 58, 58, 61        4, 17, 38, 19       
                                61, 65, 65, 65        32, 5, 7, 33        
                                65, 71, 71, 74        39, 5, 11, 10       
                                75, 77, 123, 149      11, 1, 21, 5        
                                149, 150, 157, 163    28, 6, 3, 3         
                                164, 175, 176, 177    2, 17, 5, 3         
                                182, 189, 191, 198    15, 11, 20, 4       
                                199, 201, 207, 208    23, 2, 27, 10       
                                209, 210, 211, 212    19, 18, 2, 41       
                                212, 213, 213, 213    50, 7, 15, 35       
                                214, 217, 219, 221    9, 10, 7, 14        
                                223, 225, 225, 226    1, 26, 35, 7        
                                226, 237, 243, 245    8, 5, 3, 5          
                                246, 248, 248, 250    7, 26, 29, 4        
                                250, 252, 269, 269    40, 9, 2, 3         
                                271, 271, 271, 277    6, 7, 14, 6         
                                277, 279, 283, 283    7, 5, 5, 18         
                                284, 290, 290, 291    2, 3, 24, 6         
                                295, 301, 303, 308    9, 5, 4, 2          
                                308, 313, 317, 322    42, 4, 5, 13        
                                323, 326, 327, 329    12, 8, 8, 5         
                                333, 335, 336, 338    3, 4, 6, 8          
                                339, 341, 344, 346    10, 14, 7, 8        
                                346, 346, 347, 348    26, 35, 11, 11      
                                355, 357, 360, 361    5, 13, 14, 15       
                                362, 373, 376, 378    13, 4, 9, 1         
                                381, 397, 399, 401    14, 13, 6, 5        
                                403, 419, 430, 432    16, 3, 8, 2         
                                437, 440, 440, 447    6, 6, 36, 8         
                                448, 450, 450, 454    16, 3, 5, 3         
                                454, 456, 458, 467    25, 7, 19, 21       
                                468, 469, 471, 482    2, 2, 2, 2          
                                483, 483, 484, 486    6, 7, 9, 3          
                                486, 491, 492, 493    9, 16, 2, 2         
                                493, 502, 505, 507    6, 1, 1, 6          
                                509, 509, 511, 515    22, 25, 7, 21       
                                518, 519, 523, 523    10, 9, 9, 17        
                                528, 530, 535, 540    11, 13, 7, 2        
                                540, 545, 547, 547    12, 15, 11, 13      
                                549, 551, 556, 558    12, 20, 7, 9        
                                566, 583, 583, 600    2, 4, 12, 4         
                                609, 610, 610, 616    22, 12, 17, 3       
                                619, 625, 628, 633    21, 17, 3, 24       
                                634, 635, 635, 639    3, 16, 19, 13       
                                641, 642, 644, 644    16, 6, 2, 5         
                                645, 654, 660, 661    9, 2, 10, 7         
                                664, 670, 671, 675    6, 3, 11, 4         
                                688, 690, 694, 696    7, 13, 8, 20        
                                697, 703, 705, 705    11, 6, 10, 12       
                                722, 723, 724, 729    2, 33, 7, 1         
                                733, 735, 738, 742    18, 16, 9, 2        
                                744, 744, 753, 753    2, 3, 3, 19         
                                759, 769, 772, 782    8, 7, 8, 14         
                                783, 784, 797, 798    3, 10, 7, 9         
                                804, 808, 811, 815    2, 3, 2, 2          
                                815, 815, 824, 825    14, 21, 6, 5        
                                826, 826, 828, 829    8, 13, 7, 13        
                                830, 832, 836, 839    6, 1, 8, 2          
                                840, 849, 850, 862    17, 6, 8, 3         
                                865, 867, 874, 875    19, 5, 2, 2         
                                879, 879, 881, 883    4, 14, 4, 7         
                                889, 889, 892, 895    9, 17, 3, 6         
                                896, 900, 900, 901    4, 13, 31, 5        
                                903, 903, 904, 915    4, 16, 3, 4         
                                915, 919, 920, 930    17, 12, 8, 8        
                                930, 930, 930, 930    16, 21, 26, 35      
                                932, 939, 939, 952    9, 3, 8, 4          
                                955, 955, 955, 960    3, 17, 30, 4        
                                960, 963, 963, 965    22, 12, 26, 5       
                                967, 973, 977, 978    2, 11, 9, 7         
                                981, 987, 989, 990    2, 12, 7, 9         
                                990, 996, 996, 998    20, 7, 27, 18       
                                998, 998, 998, 1001   23, 26, 40, 1       
                                1006, 1007, 1010, 1012  5, 8, 4, 6          
                                1012, 1012, 1013, 1014  15, 22, 14, 9       
                                1014, 1015, 1015, 1015  16, 12, 19, 29      
                                1015, 1028, 1034, 1035  35, 8, 6, 5         
                                1036, 1037, 1039, 1046  5, 12, 35, 7        
                                1047, 1049, 1050, 1051  9, 7, 15, 17        
                                1051, 1054, 1054, 1058  32, 6, 30, 6        
                                1065, 1066, 1066, 1070  10, 10, 14, 8       
                                1072, 1098, 1104, 1110  15, 5, 11, 12       
                                1114, 1115, 1115, 1116  14, 2, 27, 9        
                                1116, 1116            13, 14              
нийтлэх                         9, 69, 619, 628       1, 15, 9, 22        
үйл ажиллагаа                   11, 11, 20, 24        16, 25, 16, 37      
                                33, 43, 44, 53        3, 9, 9, 3          
                                53, 55, 55, 55        15, 17, 35, 58      
                                55, 58, 58, 61        71, 5, 40, 3        
                                61, 61, 63, 69        11, 33, 12, 11      
                                73, 74, 77, 78        4, 11, 2, 5         
                                79, 90, 92, 95        5, 3, 4, 7          
                                105, 108, 109, 114    8, 6, 2, 9          
                                117, 119, 121, 121    5, 6, 11, 38        
                                132, 150, 152, 152    8, 8, 22, 26        
                                156, 159, 162, 172    18, 2, 9, 3         
                                179, 189, 191, 203    4, 12, 21, 3        
                                205, 210, 212, 213    4, 19, 52, 40       
                                217, 219, 230, 232    2, 9, 9, 19         
                                245, 256, 259, 262    15, 2, 9, 6         
                                273, 277, 279, 282    12, 11, 6, 2        
                                283, 285, 287, 295    19, 20, 9, 11       
                                301, 313, 317, 327    6, 5, 2, 2          
                                339, 341, 344, 350    11, 15, 8, 7        
                                360, 361, 391, 395    15, 17, 3, 16       
