File: MNCLW00609.txt
Search Method: Trie (MWE + Single-Word)
Total runtime: 0.049817s
Found terms: 2659

Term                            Line                  Word Place          

төрийн ордон                    5                     1                   
төр, хувийн хэвшлийн түншлэл    6, 10, 705            1, 12, 5            
нийтлэх                         8, 218, 392, 402      1, 4, 6, 7          
                                672                   23                  
нийтийн зориулалттай дэд бүтэц  10, 15, 28, 50        5, 4, 4, 16         
                                61, 62, 63, 66        4, 8, 47, 6         
                                67, 80, 171, 177      4, 3, 9, 13         
                                219, 434, 607, 611    9, 9, 16, 4         
                                612, 614, 618, 619    3, 3, 6, 8          
төрийн үйлчилгээ                10, 15, 28, 30        9, 8, 8, 27         
                                47, 50, 61, 61        8, 20, 8, 37        
                                61, 63, 66, 67        40, 51, 10, 8       
                                80, 171, 177, 188     7, 13, 17, 4        
                                219, 222, 222, 229    13, 14, 18, 10      
                                239, 296, 434, 468    6, 5, 13, 4         
                                482, 620              7, 11               
хөрөнгө оруулалт                10, 35, 61, 65        21, 5, 19, 22       
                                65, 222, 288, 314     31, 3, 13, 12       
                                315, 404, 465, 502    20, 3, 2, 3         
                                520, 581, 582, 587    12, 4, 6, 17        
                                588, 626, 627, 643    4, 19, 9, 2         
                                690                   3                   
салбар                          10, 15, 17, 19        11, 10, 3, 3        
                                28, 51, 52, 61        10, 8, 25, 10       
                                66, 80, 85, 97        12, 9, 15, 6        
                                102, 128, 149, 151    11, 4, 4, 21        
                                159, 162, 170, 171    9, 16, 5, 7         
                                171, 219, 246, 251    15, 15, 10, 3       
                                252, 252, 268, 292    10, 49, 20, 3       
                                296, 299, 321, 405    21, 3, 16, 9        
                                443, 444, 451, 458    11, 13, 15, 11      
                                499, 506, 511, 613    6, 5, 8, 12         
                                625, 676, 699         25, 2, 10           
төсөл                           10, 15, 28, 36        16, 25, 2, 2        
                                45, 48, 48, 50        6, 11, 14, 42       
                                53, 55, 55, 55        5, 2, 6, 27         
                                56, 58, 61, 61        35, 23, 2, 50       
                                62, 62, 63, 63        3, 37, 42, 54       
                                63, 66, 66, 68        60, 3, 24, 10       
                                69, 69, 69, 76        7, 20, 25, 2        
                                79, 82, 84, 91        10, 2, 12, 2        
                                93, 97, 97, 98        2, 3, 15, 6         
                                100, 108, 110, 111    2, 2, 6, 13         
                                118, 118, 119, 123    3, 9, 17, 2         
                                124, 128, 129, 132    2, 2, 3, 7          
                                132, 133, 134, 134    16, 6, 6, 10        
                                137, 137, 138, 140    2, 14, 2, 2         
                                144, 145, 146, 148    9, 6, 7, 6          
                                149, 150, 151, 157    2, 7, 5, 2          
                                158, 158, 159, 160    3, 23, 19, 2        
                                163, 174, 175, 177    3, 2, 2, 12         
                                178, 179, 180, 181    12, 9, 6, 4         
                                182, 183, 193, 201    3, 2, 6, 4          
                                202, 203, 204, 205    2, 4, 2, 7          
                                207, 208, 209, 210    2, 2, 3, 2          
                                211, 214, 214, 215    2, 2, 7, 2          
                                218, 219, 221, 224    2, 7, 5, 2          
                                224, 225, 227, 230    9, 5, 5, 3          
                                231, 238, 239, 241    7, 5, 2, 10         
                                242, 243, 244, 245    6, 4, 19, 3         
                                246, 247, 248, 250    5, 14, 13, 11       
                                250, 251, 252, 252    26, 15, 5, 23       
                                252, 253, 259, 261    30, 10, 7, 7        
                                262, 263, 263, 264    16, 3, 26, 24       
                                264, 265, 266, 266    34, 4, 13, 16       
                                267, 268, 268, 268    4, 2, 11, 12        
                                269, 276, 276, 278    3, 4, 8, 15         
                                284, 284, 291, 292    18, 25, 21, 19      
                                294, 294, 294, 296    15, 23, 24, 10      
                                296, 297, 298, 298    19, 11, 15, 27      
                                298, 299, 300, 303    39, 14, 16, 4       
                                303, 303, 304, 305    7, 15, 6, 4         
                                306, 307, 307, 308    17, 4, 13, 3        
                                310, 313, 315, 315    2, 4, 2, 8          
                                315, 317, 317, 318    13, 2, 7, 16        
                                321, 324, 335, 335    24, 3, 2, 4         
                                335, 336, 337, 343    11, 2, 13, 6        
                                344, 346, 357, 363    2, 13, 5, 3         
                                366, 366, 367, 367    6, 11, 13, 41       
                                368, 371, 393, 395    13, 13, 6, 2        
                                398, 399, 400, 404    5, 5, 2, 2          
                                412, 413, 415, 417    2, 2, 7, 4          
                                418, 422, 432, 434    2, 2, 4, 2          
                                434, 437, 437, 443    6, 2, 10, 20        
                                443, 444, 444, 447    35, 11, 21, 2       
                                447, 449, 454, 454    7, 6, 5, 12         
                                456, 458, 461, 466    35, 9, 7, 4         
                                470, 480, 482, 484    4, 4, 2, 7          
                                486, 499, 499, 510    4, 4, 7, 17         
                                520, 528, 529, 545    9, 16, 9, 2         
                                551, 552, 552, 552    4, 3, 13, 18        
                                552, 553, 560, 560    26, 3, 11, 13       
                                561, 562, 564, 588    6, 13, 7, 7         
                                590, 590, 591, 593    18, 22, 7, 6        
                                597, 598, 599, 604    9, 5, 4, 24         
                                607, 607, 612, 614    8, 25, 2, 9         
                                624, 624, 625, 627    10, 27, 24, 7       
                                627, 635, 636, 661    12, 4, 8, 2         
                                663, 673, 686, 689    2, 2, 15, 2         
                                690, 699, 700, 702    2, 8, 22, 4         
                                703, 706, 714, 715    7, 4, 2, 2          
удирдлага                       10, 10, 12, 21        29, 44, 19, 3       
                                29, 56, 61, 63        8, 36, 42, 40       
                                64, 98, 214, 247      10, 11, 5, 25       
