law_id	terms_unique	degree	weighted_degree	betweenness	closeness	pagerank	component_id	component_size
MNCLW00001	5	58	58.0000	0.000000	0.498219	0.000196	0	810
MNCLW00002	360	620	12410.0000	0.001042	0.779777	0.003026	0	810
MNCLW00003	39	506	1532.0000	0.000322	0.699836	0.000591	0	810
MNCLW00004	432	642	13179.0000	0.000937	0.797354	0.003199	0	810
MNCLW00005	251	610	9638.0000	0.000737	0.772041	0.002385	0	810
MNCLW00006	71	573	4498.0000	0.000454	0.744706	0.001271	0	810
MNCLW00007	58	439	2167.0000	0.000062	0.660066	0.000667	0	810
MNCLW00008	1	0	0.0000	0.000000	0.000000	0.000184	1	1
MNCLW00009	283	657	10790.0000	0.001207	0.809800	0.002701	0	810
MNCLW00010	5	292	463.0000	0.000098	0.586891	0.000307	0	810
MNCLW00011	31	630	1927.0000	0.000893	0.787670	0.000755	0	810
MNCLW00012	6	498	659.0000	0.000705	0.694837	0.000482	0	810
MNCLW00013	25	554	947.0000	0.000667	0.731408	0.000528	0	810
MNCLW00014	596	755	15313.0000	0.002577	0.901759	0.003876	0	810
MNCLW00015	4	420	481.0000	0.000222	0.649597	0.000367	0	810
MNCLW00016	5	322	358.0000	0.000155	0.600477	0.000349	0	810
MNCLW00017	3	295	318.0000	0.000064	0.588222	0.000329	0	810
MNCLW00018	11	446	776.0000	0.000262	0.664008	0.000433	0	810
MNCLW00019	336	681	11656.0000	0.001282	0.830542	0.002890	0	810
MNCLW00020	3	219	219.0000	0.000000	0.556267	0.000236	0	810
MNCLW00021	735	734	16263.0000	0.002028	0.880337	0.003979	0	810
MNCLW00022	7	448	678.0000	0.000294	0.664575	0.000417	0	810
MNCLW00023	3	216	216.0000	0.000000	0.554286	0.000235	0	810
MNCLW00024	51	506	2891.0000	0.000392	0.699836	0.000881	0	810
MNCLW00025	310	588	9008.0000	0.000561	0.755551	0.002219	0	810
MNCLW00026	2	84	84.0000	0.000000	0.507313	0.000205	0	810
MNCLW00027	324	603	11115.0000	0.000825	0.766717	0.002713	0	810
MNCLW00028	3	85	92.0000	0.000000	0.507644	0.000207	0	810
MNCLW00029	60	458	2775.0000	0.000240	0.670877	0.000834	0	810
MNCLW00030	1	0	0.0000	0.000000	0.000000	0.000184	2	1
MNCLW00031	263	525	6357.0000	0.000277	0.712001	0.001603	0	810
MNCLW00032	2	0	0.0000	0.000000	0.000000	0.000184	3	1
MNCLW00033	137	478	5001.0000	0.000166	0.682647	0.001294	0	810
MNCLW00034	3	80	107.0000	0.000000	0.505664	0.000207	0	810
MNCLW00035	417	711	13144.0000	0.001764	0.858013	0.003253	0	810
MNCLW00036	4	291	327.0000	0.000150	0.586007	0.000358	0	810
MNCLW00037	2	234	234.0000	0.000000	0.561890	0.000311	0	810
MNCLW00038	4	237	238.0000	0.000004	0.563110	0.000312	0	810
MNCLW00039	1	0	0.0000	0.000000	0.000000	0.000184	4	1
MNCLW00040	227	590	9227.0000	0.000443	0.757021	0.002264	0	810
MNCLW00041	2	15	15.0000	0.000000	0.484267	0.000188	0	810
MNCLW00042	237	630	10731.0000	0.001128	0.787670	0.002683	0	810
MNCLW00043	3	31	32.0000	0.000000	0.490370	0.000204	0	810
MNCLW00044	31	394	1569.0000	0.000105	0.635799	0.000554	0	810
MNCLW00045	10	384	506.0000	0.000403	0.630646	0.000402	0	810
MNCLW00046	5	206	279.0000	0.000022	0.551146	0.000254	0	810
MNCLW00047	783	742	16995.0000	0.002501	0.888376	0.004196	0	810
MNCLW00048	3	66	77.0000	0.000000	0.501429	0.000212	0	810
MNCLW00049	3	66	77.0000	0.000000	0.501429	0.000212	0	810
MNCLW00050	3	66	77.0000	0.000000	0.501429	0.000212	0	810
MNCLW00051	4	64	78.0000	0.000010	0.500784	0.000217	0	810
MNCLW00052	185	589	9392.0000	0.000455	0.756285	0.002304	0	810
MNCLW00053	147	567	6730.0000	0.000420	0.740454	0.001709	0	810
MNCLW00055	91	507	4464.0000	0.000180	0.700466	0.001188	0	810
MNCLW00056	4	27	27.0000	0.000000	0.488523	0.000200	0	810
MNCLW00057	175	569	5866.0000	0.000969	0.741866	0.001594	0	810
MNCLW00058	4	89	103.0000	0.000016	0.508972	0.000223	0	810
MNCLW00059	155	525	4912.0000	0.000352	0.712001	0.001309	0	810
MNCLW00060	211	557	8981.0000	0.000329	0.733476	0.002193	0	810
MNCLW00061	520	695	16015.0000	0.002130	0.843139	0.003894	0	810
MNCLW00062	43	453	2595.0000	0.000113	0.667998	0.000768	0	810
MNCLW00063	214	571	7850.0000	0.000558	0.743283	0.001977	0	810
MNCLW00064	30	461	1520.0000	0.000222	0.672617	0.000566	0	810
MNCLW00065	228	597	9867.0000	0.000715	0.762211	0.002438	0	810
MNCLW00066	169	559	6086.0000	0.000326	0.734861	0.001560	0	810
MNCLW00067	25	531	1415.0000	0.000478	0.715932	0.000585	0	810
MNCLW00068	14	332	768.0000	0.000020	0.605146	0.000360	0	810
MNCLW00069	760	707	15973.0000	0.001713	0.854245	0.003901	0	810
MNCLW00070	13	433	735.0000	0.000257	0.656724	0.000433	0	810
MNCLW00071	249	654	7110.0000	0.001083	0.807280	0.001889	0	810
MNCLW00072	10	396	657.0000	0.000208	0.636839	0.000416	0	810
MNCLW00073	341	541	7783.0000	0.000309	0.722579	0.001922	0	810
MNCLW00074	1	0	0.0000	0.000000	0.000000	0.000184	5	1
MNCLW00075	8	327	676.0000	0.000016	0.602802	0.000336	0	810
MNCLW00076	659	649	15543.0000	0.001268	0.803114	0.003730	0	810
MNCLW00077	86	523	4155.0000	0.000306	0.710701	0.001140	0	810
MNCLW00078	4	285	339.0000	0.000056	0.583372	0.000335	0	810
MNCLW00079	229	672	8311.0000	0.001174	0.822640	0.002152	0	810
MNCLW00080	40	422	2178.0000	0.000096	0.650684	0.000675	0	810
MNCLW00081	474	647	14458.0000	0.001054	0.801460	0.003486	0	810
MNCLW00082	53	449	2239.0000	0.000102	0.665712	0.000692	0	810
MNCLW00083	140	593	8059.0000	0.000464	0.759237	0.002031	0	810
MNCLW00084	3	206	216.0000	0.000032	0.551146	0.000282	0	810
MNCLW00085	157	546	5241.0000	0.000454	0.725949	0.001400	0	810
MNCLW00086	124	542	3191.0000	0.000451	0.723251	0.000957	0	810
MNCLW00087	180	675	7365.0000	0.001156	0.825257	0.001962	0	810
MNCLW00088	7	274	306.0000	0.000062	0.579031	0.000305	0	810
MNCLW00089	6	315	492.0000	0.000059	0.596793	0.000362	0	810
MNCLW00090	10	444	774.0000	0.000206	0.662877	0.000419	0	810
MNCLW00091	3	238	261.0000	0.000034	0.563926	0.000295	0	810
MNCLW00092	4	238	261.0000	0.000034	0.563926	0.000295	0	810
MNCLW00093	7	485	1095.0000	0.000247	0.686865	0.000501	0	810
MNCLW00094	4	341	444.0000	0.000106	0.609411	0.000333	0	810
MNCLW00095	8	422	762.0000	0.000196	0.650684	0.000422	0	810
MNCLW00096	12	514	1490.0000	0.000302	0.704907	0.000594	0	810
MNCLW00097	7	435	879.0000	0.000189	0.657834	0.000449	0	810
MNCLW00098	12	449	1109.0000	0.000196	0.665143	0.000505	0	810
MNCLW00099	6	484	718.0000	0.000472	0.686259	0.000480	0	810
MNCLW00100	6	315	492.0000	0.000059	0.596793	0.000362	0	810
MNCLW00101	8	253	355.0000	0.000032	0.569705	0.000325	0	810
MNCLW00102	3	177	177.0000	0.000000	0.539305	0.000269	0	810
MNCLW00103	12	449	1109.0000	0.000196	0.665143	0.000505	0	810
MNCLW00104	5	177	177.0000	0.000000	0.539305	0.000269	0	810
MNCLW00105	9	328	528.0000	0.000080	0.603269	0.000362	0	810
MNCLW00106	11	502	867.0000	0.000574	0.697328	0.000525	0	810
MNCLW00107	7	334	520.0000	0.000110	0.606088	0.000369	0	810
MNCLW00108	6	484	718.0000	0.000472	0.686259	0.000480	0	810
MNCLW00109	4	278	373.0000	0.000049	0.580759	0.000332	0	810
MNCLW00110	6	352	529.0000	0.000092	0.614221	0.000365	0	810
MNCLW00111	6	315	492.0000	0.000059	0.596793	0.000362	0	810
MNCLW00112	3	278	373.0000	0.000049	0.580759	0.000332	0	810
MNCLW00113	11	485	876.0000	0.000483	0.686865	0.000528	0	810
MNCLW00114	18	507	1004.0000	0.000841	0.700466	0.000589	0	810
MNCLW00115	8	469	1149.0000	0.000258	0.677300	0.000515	0	810
MNCLW00116	8	453	759.0000	0.000219	0.667998	0.000410	0	810
MNCLW00117	4	341	444.0000	0.000106	0.609411	0.000333	0	810
MNCLW00118	7	439	965.0000	0.000181	0.660066	0.000459	0	810
