	id	leg_term	desc	pos_tag	term_root
1	1060	ус	монгол улсын нутаг дэвсгэр дэх мөрөн, гол, горхи, булаг, шанд, рашаан, мөнх цас, мөс, мөсөн гол, байгалийн болон хиймэл нуур, цөөрөм зэрэг газрын гадаргын болон газрын доорхи ус	NM	ус
3	5130018	өр	өрийн хэрэгслээр дамжуулан тодорхой хугацаанд төлөх хүү, үндсэн төлбөр болон холбогдох бусад төлбөрийн үүргийг	NM	өр
2	5660016	үр	таримал ургамлын сортын нөхөн үржихүйн үйлдвэрлэлийн зориулалтаар ашиглагдах амьд үр, суулгац, тарьц, хөврөл, ургал эрхтнийг	NM	үр
1	8160014	эм	хүний болон мал, амьтны өвчнөөс урьдчилан сэргийлэх, өвчнийг оношлох, эмчлэх, дархлаажуулах зориулалттай, үйлчлэл нь эм судлал, эмнэлзүйн сорилт туршилтаар нотлогдсон, нийлэг буюу амьтан, ургамал, эрдсийн гаралтай бодисыг тодорхой хэлбэрт оруулсан, зохих тун, хэмжээгээр хэрэглэдэг бэлдмэлийг	NM	эм
0	4880013	ой	мод, бут, сөөг болон бусад ургамал, хаг хөвд, амьтан, бичил биетэн шүтэлцэн орших хам бүрдлийн экологи-газарзүйн онцлог нөхцөл бүхий орчныг	NM	ой
12	7060038	лаг	төрөл бүрийн хаягдал уснаас энгийн болон механик аргаар ялган авсан ус ба хатуу хольцын холимгийг	NM	лаг
11	7810034	тун	ионжуулагч цацрагаас бие махбодид шингээгдсэн энергийн хэмжээгээр тодорхойлогддог цацрагийн шарлагыг илэрхийлэх хэмжигдэхүүнийг	NM	тун
10	2310022	хүн	монгол улсын иргэн, гадаадын иргэн, харьяалалгүй хүнийг	NM	хүн
9	710029	хүү	гэрээний үндсэн дээр мөнгөн хөрөнгийг ашигласны хариу төлбөр буюу үнийг	NM	хүү
8	1520015	сум	галт зэвсэгт зориулагдсан хонгио, бялт, дарин цэнэг, хошуу бүгд нэг биет болж угсрагдсан, эсхүл гол төмөрт хийж буудлага үйлдэх зориулалттай бүрдэл хэсгийг	NM	сум
7	2770016	мал	уламжлагдан маллаж ирсэн таван хошуу малыг	NM	мал
6	1980016	зам	тээврийн хэрэгслээр зорчиход зориулсан зурвас газрыг зорчих хэсэг болон түүний хажуугийн хөвөө, явган хүний зам, тусгаарлах зурвас замд хамаарна	NM	зам
5	5720228	тал	хэлэлцээрт оролцогч талыг	NM	тал
4	6140041	орц	тухайн ажил, үйлчилгээг хэрэгжүүлэхэд шаардагдах эд хөрөнгө болон эдийн бус хөрөнгийг	NM	орц
4	46	анз	хүлээсэн үүргээ гүйцэтгээгүй буюу зохих ёсоор гүйцэтгээгүй тал хууль болон гэрээнд  зааснаар нөгөө талдаа төлөх ёстой мөнгөн төлбөр	NM	анз
6	794	сан	нэг буюу хэд хэдэн үүсгэн байгуулагч нийгэмд ашиг тустай, нэгдмэл зорилгод хүрэхийн тулд эд хөрөнгө төвлөрүүлэх замаар байгуулсан гишүүнчлэлгүй хуулийн этгээд	NM	сан
30	550012	багш	боловсролын тухай хуулийн 44 дүгээр зүйлд заасан эрх эдэлж, үүрэг хүлээж байгаа этгээдийг	NM	багш
29	7350013	хүнс	хүний бие махбодийн хэвийн үйл ажиллагааг хангах, эрүүл мэндийг дэмжин хамгаалахад шаардагдах хүнсний түүхий эд, хагас болон бүрэн боловсруулсан бүтээгдэхүүн, ундны усыг	NM	хүнс
28	5950065	ажил	барилга байгууламжийн ажил, барилгын тоног төхөөрөмжийн угсралт, суурилуулалт, туршилт тохируулгын ажил, түүнчлэн тухайн ажлыг гүйцэтгэхэд шаардагдах бараа нийлүүлэлтийг бараа нийлүүлэлтийн үнэ нь ажлын үнээс их байвал тухайн гэрээг “барааны гэрээ”тооцно	NM	ажил
27	710024	зээл	банк, эрх бүхий хуулийн этгээдээс гэрээний үндсэн дээр тодорхой зориулалт, хугацаа, эргэн төлөгдөх нөхцөлөөр хүүтэй буюу хүүгүй бусад этгээдэд аливаа хэлбэрээр олгосон мөнгөн хөрөнгийг	NM	зээл
25	8400023	түлш	цахилгаан, дулаан үйлдвэрлэхэд ашиглагдах бүх төрлийн нүүрс, занар, мазут, газрын тос, уран ба торийн хүдэр, тэдгээрийн дагавар бүтээгдэхүүн болон баяжмал, байгаль дээр оршиж байгаа биомасс, бусад органик материал, хийн түлшийг	NM	түлш
