	id	doc_id	term_id
0	1005	MNCLW00001	3940032
1	1005	MNCLW00001	730024
3	1006	MNCLW00001	2410035
364	2242	MNCLW00002	333
363	2242	MNCLW00002	1680024
350	2233	MNCLW00002	433
345	2233	MNCLW00002	350026
344	2232	MNCLW00002	5110031
324	2224	MNCLW00002	1470023
323	2224	MNCLW00002	6700020
319	2223	MNCLW00002	507
318	2223	MNCLW00002	506
299	2209	MNCLW00002	1288
298	2208	MNCLW00002	1007
296	2205	MNCLW00002	316
275	2197	MNCLW00002	190
268	2184	MNCLW00002	849
378	2251	MNCLW00002	8260056
267	2179	MNCLW00002	6450010
261	2169	MNCLW00002	5720232
260	2169	MNCLW00002	2650025
225	2147	MNCLW00002	1009
209	2140	MNCLW00002	5720230
208	2140	MNCLW00002	7950016
196	2131	MNCLW00002	3180013
187	2127	MNCLW00002	3500017
178	2118	MNCLW00002	1520015
177	2118	MNCLW00002	4350013
165	2112	MNCLW00002	6320014
156	2108	MNCLW00002	730024
272	2189	MNCLW00002	400014
379	2251	MNCLW00002	853
383	2259	MNCLW00002	475
384	2263	MNCLW00002	1950019
498	2396	MNCLW00002	1650013
496	2396	MNCLW00002	8360012
490	2390	MNCLW00002	687
487	2389	MNCLW00002	8260034
486	2386	MNCLW00002	8260028
483	2383	MNCLW00002	1010
480	2382	MNCLW00002	5720066
470	2370	MNCLW00002	5890014
469	2369	MNCLW00002	5170014
468	2369	MNCLW00002	1460019
465	2365	MNCLW00002	6140027
463	2364	MNCLW00002	5130022
461	2362	MNCLW00002	2410035
460	2361	MNCLW00002	3180023
459	2361	MNCLW00002	1172
455	2354	MNCLW00002	931
446	2342	MNCLW00002	4360021
438	2336	MNCLW00002	7310034
433	2332	MNCLW00002	1980013
430	2329	MNCLW00002	6600020
429	2328	MNCLW00002	620
428	2327	MNCLW00002	8260046
410	2310	MNCLW00002	437
406	2309	MNCLW00002	240010
405	2308	MNCLW00002	955
399	2297	MNCLW00002	1341
398	2297	MNCLW00002	1002
139	2100	MNCLW00002	141
138	2100	MNCLW00002	7310033
436	2335	MNCLW00002	5470032
135	2096	MNCLW00002	4940019
41	2038	MNCLW00002	794
39	2034	MNCLW00002	6140053
38	2034	MNCLW00002	928
37	2033	MNCLW00002	303
36	2032	MNCLW00002	1680026
35	2032	MNCLW00002	3300025
34	2031	MNCLW00002	4840020
33	2031	MNCLW00002	6090048
31	2027	MNCLW00002	20024
30	2026	MNCLW00002	20023
28	2024	MNCLW00002	8260058
27	2024	MNCLW00002	5950065
26	2023	MNCLW00002	20020
24	2022	MNCLW00002	20019
22	2021	MNCLW00002	2310022
18	2020	MNCLW00002	4360014
17	2020	MNCLW00002	20017
14	2019	MNCLW00002	20016
13	2018	MNCLW00002	20018
12	2018	MNCLW00002	531
11	2018	MNCLW00002	5720082
9	2018	MNCLW00002	2770030
8	2014	MNCLW00002	5110028
7	2014	MNCLW00002	6140040
6	2011	MNCLW00002	4940013
5	2008	MNCLW00002	6770048
136	2099	MNCLW00002	7310025
48	2045	MNCLW00002	205
49	2045	MNCLW00002	7160014
10	2018	MNCLW00002	20015
54	2046	MNCLW00002	7460014
50	2045	MNCLW00002	3300017
128	2084	MNCLW00002	1198
127	2084	MNCLW00002	8260052
121	2082	MNCLW00002	1003
120	2082	MNCLW00002	450
113	2076	MNCLW00002	798
105	2073	MNCLW00002	3830015
103	2073	MNCLW00002	1480013
100	2073	MNCLW00002	8260038
94	2067	MNCLW00002	5660016
93	2065	MNCLW00002	2310023
89	2063	MNCLW00002	846
86	2062	MNCLW00002	3940032
92	2065	MNCLW00002	757
79	2059	MNCLW00002	2340031
55	2047	MNCLW00002	2440026
59	2049	MNCLW00002	250024
60	2049	MNCLW00002	810018
61	2050	MNCLW00002	810020
66	2050	MNCLW00002	212
81	2060	MNCLW00002	5890015
68	2051	MNCLW00002	5720223
75	2058	MNCLW00002	6140032
76	2058	MNCLW00002	248
133	2091	MNCLW00002	4360020
77	2058	MNCLW00002	6140037
78	2058	MNCLW00002	710024
73	2056	MNCLW00002	1373
589	3046	MNCLW00003	1480013
536	3012	MNCLW00003	8400023
564	3038	MNCLW00003	5720054
562	3038	MNCLW00003	359
537	3012	MNCLW00003	1400026
535	3012	MNCLW00003	531
538	3012	MNCLW00003	5830012
533	3012	MNCLW00003	3300017
532	3012	MNCLW00003	7160014
531	3012	MNCLW00003	205
530	3012	MNCLW00003	2310022
522	3003	MNCLW00003	5720034
534	3012	MNCLW00003	1400018
814	4093	MNCLW00004	1950019
815	4094	MNCLW00004	5660016
819	4095	MNCLW00004	7920013
822	4096	MNCLW00004	5130022
837	4099	MNCLW00004	1030
840	4099	MNCLW00004	623
843	4100	MNCLW00004	1470030
853	4103	MNCLW00004	250022
798	4086	MNCLW00004	5950073
854	4103	MNCLW00004	1470023
855	4103	MNCLW00004	6140040
857	4103	MNCLW00004	1560020
871	4111	MNCLW00004	3980016
874	4113	MNCLW00004	6140041
878	4114	MNCLW00004	760049
849	4101	MNCLW00004	6190023
795	4085	MNCLW00004	5110028
786	4070	MNCLW00004	4360020
791	4073	MNCLW00004	450
879	4114	MNCLW00004	531
738	4045	MNCLW00004	40043
744	4046	MNCLW00004	1800016
746	4046	MNCLW00004	40044
751	4050	MNCLW00004	5490021
753	4051	MNCLW00004	8360012
757	4054	MNCLW00004	3940032
758	4054	MNCLW00004	710024
759	4054	MNCLW00004	6140053
760	4054	MNCLW00004	248
763	4054	MNCLW00004	6970012
765	4055	MNCLW00004	1470031
768	4058	MNCLW00004	6090057
779	4065	MNCLW00004	303
783	4068	MNCLW00004	6140037
793	4075	MNCLW00004	2440026
893	4122	MNCLW00004	928
1395	4346	MNCLW00004	1680026
912	4133	MNCLW00004	5470021
1181	4244	MNCLW00004	2590016
1193	4246	MNCLW00004	8090021
1221	4257	MNCLW00004	851
1226	4258	MNCLW00004	5720070
1232	4262	MNCLW00004	5720034
1249	4270	MNCLW00004	3500017
1267	4282	MNCLW00004	5110031
1310	4299	MNCLW00004	2310023
1311	4302	MNCLW00004	7310025
1316	4303	MNCLW00004	7060017
1325	4310	MNCLW00004	4810018
1349	4316	MNCLW00004	2310013
1353	4319	MNCLW00004	250024
1373	4327	MNCLW00004	956
736	4044	MNCLW00004	3760024
1173	4241	MNCLW00004	120
901	4128	MNCLW00004	1373
1170	4239	MNCLW00004	5840025
1163	4234	MNCLW00004	5720223
