	doc_id	doc_title	doc_desc
0	MNCLW00001	авлигын эсрэг хуулийн зарим заалтыг дагаж мөрдөх журмын тухай	2007 оны 2 дугаар сарын 06-ны өдөр
1	MNCLW00002	авлигын эсрэг хууль	2006 оны 7 дугаар сарын 6-ны өдөр
2	MNCLW00003	автобензин, дизелийн түлшний албан татварын тухай	1995 оны 6 дугаар сарын 2-ны өдөр
3	MNCLW00004	авто замын тухай	2017 оны 5 дугаар сарын 11-ний өдөр
4	MNCLW00005	автотээврийн тухай	1999 оны 6 дугаар сарын 4-ний өдөр
5	MNCLW00006	агаарын бохирдлын төлбөрийн тухай	2010 оны 6 дугаар сарын 24-ны өдөр
6	MNCLW00007	агаарын зайг нисэхэд ашиглах тухай	2003 оны 5 дугаар сарын 30-ны өдөр
7	MNCLW00008	агаарын тухай хуулийг хүчингүй болсонд тооцох тухай	2012 оны 5 дугаар сарын 17-ны өдөр
8	MNCLW00009	агаарын тухай	2012 оны 5 дугаар сарын 17-ны өдөр
9	MNCLW00010	агнуурын нөөц ашигласны төлбөр, ан амьтан агнах, барих зөвшөөрлийн хураамжийн тухай хуулийг хүчингүй болсонд тооцох тухай	2012 оны 5 дугаар сарын 17-ны өдөр
10	MNCLW00011	аж ахуйн нэгжийн орлогын албан татвараас хөнгөлөх, чөлөөлөх тухай	2020 оны 04 сарын 09 өдөр
11	MNCLW00012	аж ахуйн нэгжийн орлогын албан татварын тухай хууль хүчингүй болсонд тооцох тухай	2019 оны 03 сарын 22 өдөр
12	MNCLW00013	аж ахуйн нэгжийн орлогын албан татварын тухай хууль	2019 оны 03 сарын 22 өдөр
13	MNCLW00014	аж ахуйн нэгжийн орлогын албан татварын тухай	2019 оны 03 сарын 22 өдөр
14	MNCLW00015	аж ахуйн үйл ажиллагааны тусгай зөвшөөрлийн тухай хууль хүчингүй болсонд тооцох тухай	2022 оны 06 сарын 17 өдөр
15	MNCLW00016	ажилласан жил, тэтгэврийн даатгалын шимтгэлийг нөхөн	2019 оны 11 сарын 13 өдөр
16	MNCLW00017	ажиллах хүч гадаадад гаргах, гадаадаас ажиллах хүч, мэргэжилтэн авах тухай хууль хүчингүй болсонд тооцох тухай	2021 оны 12 сарын 24 өдөр
17	MNCLW00018	ажиллах хүчний шилжилт хөдөлгөөний тухай хууль /шинэчилсэн найруулга/-ийг дагаж мөрдөх журмын тухай	2021 оны 12 сарын 24 өдөр
18	MNCLW00019	ажиллах хүчний шилжилт хөдөлгөөний тухай	2021 оны 12 сарын 24 өдөр
19	MNCLW00020	ажлын таван өдөртэй долоо хоногт шилжүүлэх тухай	1997 оны 12 дугаар сарын 4-ний өдөр
20	MNCLW00021	аймаг, нийслэл, сум, дүүргийн иргэдийн төлөөлөгчдийн хурлын сонгуулийн тухай	2020 оны 01 сарын 30 өдөр
21	MNCLW00022	аймаг, нийслэл, сум, дүүргийн иргэдийн төлөөлөгчдийн хурлын сонгуулийн тухай хуулийг дагаж мөрдөх журмын тухай	2020 оны 01 сарын 30 өдөр
22	MNCLW00023	аймаг, сум, дүүргийн иргэдийн төлөөлөгчдийн хурлын сонгуулийн тухай хууль хүчингүй болсонд тооцох тухай	2015 оны 12 дугаар сарын 25-ны өдөр
23	MNCLW00024	алдар цолтон ахмад настанд төрөөс нэмэгдэл, хөнгөлөлт олгох тухай	2017 оны 2 дугаар сарын 02-ны өдөр
24	MNCLW00025	амьтан, ургамал, тэдгээрийн гаралтай түүхий эд, бүтээгдэхүүнийг улсын хилээр нэвтрүүлэх үеийн хорио цээрийн хяналт, шалгалтын тухай	2002 оны 11 дүгээр сарын 28-ны өдөр
25	MNCLW00026	амьтны аймгийн тухай хуулийг хүчингүй болсонд тооцох тухай	2012 оны 5 дугаар сарын 17-ны өдөр
26	MNCLW00027	амьтны тухай	2012 оны 5 дугаар сарын 17-ны өдөр
27	MNCLW00028	ан агнуурын тухай хуулийг хүчингүй болсонд тооцох тухай	2012 оны 5 дугаар сарын 17-ны өдөр
28	MNCLW00029	анхны ардчилсан сонгууль болж байнгын ажиллагаатай парламент байгуулагдсаны 25 жилийн ойг тохиолдуулан өршөөл үзүүлэх тухай	2015 оны 8 дугаар сарын 11-ний өдөр
29	MNCLW00030	арбитрын тухай хууль хүчингүй болсонд тооцох тухай	2017 оны 1 дүгээр сарын 26-ны өдөр
30	MNCLW00031	арбитрын тухай	2017 оны 1 дүгээр сарын 26-ны өдөр
31	MNCLW00032	ард нийтийн санал асуулгын тухай хууль хүчингүй болсонд тооцох тухай	2016 оны 2 дугаар сарын 05-ны өдөр
32	MNCLW00033	ард нийтийн санал асуулгын тухай	2016 оны 2 дугаар сарын 05-ны өдөр
33	MNCLW00034	ариун цэврийн тухай хууль хүчингүй болсонд тооцох тухай	2016 оны 2 дугаар сарын 04-ний өдөр
34	MNCLW00035	архив, албан хэрэг хөтлөлтийн тухай	2020 оны 04 сарын 24 өдөр
35	MNCLW00036	архивын тухай хууль хүчингүй болсонд тооцох тухай	2020 оны 04 сарын 24 өдөр
36	MNCLW00037	архидан согтуурахтай тэмцэх тухай 1994 оны хууль хүчингүй болсонд тооцох тухай	2000 оны 01 сарын 28 өдөр
37	MNCLW00038	архидан согтуурахтай тэмцэх тухай хууль хүчингүй болсонд тооцох тухай	2022 оны 07 сарын 05 өдөр
38	MNCLW00039	аудитын тухай хууль хүчингүй болсонд тооцох тухай	2015 оны 6 дугаар сарын 19-ний өдөр
39	MNCLW00040	аудитын тухай	2015 оны 6 дугаар сарын 19-ний өдөр
40	MNCLW00041	ахмад настны нийгмийн хамгааллын тухай хууль хүчингүй болсонд тооцох тухай	2017 оны 1 дүгээр сарын 26-ны өдөр
41	MNCLW00042	ахмад настны тухай	2017 оны 1 дүгээр сарын 26-ны өдөр
42	MNCLW00043	ахуйн болон үйлдвэрлэлийн хог хаягдлын тухай хууль хүчингүй болсонд тооцох тухай	2012 оны 5 дугаар сарын 17-ны өдөр
43	MNCLW00044	ашигт малтмалын тухай хуулийг дагаж мөрдөх журмын тухай	2006 оны 7 дугаар сарын 08-ны өдөр
44	MNCLW00045	ашигт малтмалын тухай хуульд нэмэлт, өөрчлөлт оруулах тухай	2019 оны 11 сарын 22 өдөр
45	MNCLW00046	ашигт малтмалын тухай хуульд нэмэлт, өөрчлөлт оруулах тухай хуулийг дагаж мөрдөх журмын тухай	2014 оны 7 дугаар сарын 01-ний өдөр
46	MNCLW00047	ашигт малтмалын тухай	2006 оны 07 сарын 08 өдөр
47	MNCLW00048	ашигт малтмалын хайгуулын тусгай зөвшөөрөл шинээр олгохыг хориглох тухай	2011 оны 6 дугаар сарын 3-ны өдөр
48	MNCLW00049	ашигт малтмалын хайгуулын тусгай зөвшөөрөл шинээр олгохыг хориглох тухай	2011 оны 2 дугаар сарын 9-ний өдөр
49	MNCLW00050	ашигт малтмалын хайгуулын тусгай зөвшөөрөл шинээр олгохыг хориглох тухай	2010 оны 6 дугаар сарын 17-ны өдөр
50	MNCLW00051	аюултай хог хаягдлын импорт, хил дамжуулан тээвэрлэлтийг хориглох, экспортлох тухай хууль хүчингүй болсонд тооцох тухай	2012 оны 5 дугаар сарын 17-ны өдөр
51	MNCLW00052	аялал жуулчлалын тухай	2000 оны 5 дугаар сарын 05-ны өдөр
52	MNCLW00053	бага, дунд боловсролын тухай	2002 оны 5 дугаар сарын 03-ны өдөр
53	MNCLW00054	бага, дунд боловсролын тухай хуулийг дагаж мєрдєх тухай	2002 оны 5 дугаар сарын 3-ны өдөр
54	MNCLW00055	багшийн хөгжлийг дэмжих тухай	2018 оны 6 дугаар сарын 27-ны өдөр
55	MNCLW00056	байгалийн нөөц ашигласны төлбөрийн орлогоос байгаль орчныг хамгаалах, байгалийн нөөцийг нөхөн сэргээх арга хэмжээнд зарцуулах хөрөнгийн хувь, хэмжээний тухай хуулийг хүчингүй болсонд тооцох тухай	2012 оны 5 дугаар сарын 17-ны өдөр
56	MNCLW00057	байгалийн нөөц ашигласны төлбөрийн тухай	2012 оны 05 дугаар сарын 17-ны өдөр
57	MNCLW00058	байгалийн ургамал ашигласны төлбөрийн тухай хуулийг хүчингүй болсонд тооцох тухай	2012 оны 5 дугаар сарын 17-ны өдөр
58	MNCLW00059	байгалийн ургамлын тухай	1995 оны 4 дүгээр сарын 11-ний өдөр
59	MNCLW00060	байгаль орчинд нөлөөлөх байдлын үнэлгээний тухай	2012 оны 5 дугаар сарын 17-ны өдөр
60	MNCLW00061	байгаль орчныг хамгаалах тухай	1995 оны 3 дугаар сарын 30-ны өдөр
61	MNCLW00062	байгууллагын нууцын тухай	1995 оны 5 дугаар сарын 16-ны өдөр
62	MNCLW00063	банк бус санхүүгийн үйл ажиллагааны тухай	2002 оны 12 дугаар сарын 12-ны өдөр
63	MNCLW00064	банкин дахь мөнгөн хадгаламжид баталгаа гаргах тухай	2008 оны 11 дүгээр сарын 25-ны өдөр
64	MNCLW00065	банкин дахь мөнгөн хадгаламжийн даатгалын тухай	2013 оны 1 дүгээр сарын 10-ны өдөр
65	MNCLW00066	банкны салбарын тогтвортой байдлыг хангах тухай	2018 оны 6 дугаар сарын 22-ны өдөр
66	MNCLW00067	банкны тухай хуульд нэмэлт, өөрчлөлт оруулах тухай хуулийг дагаж мөрдөх журмын тухай	2021 оны 01 сарын 29 өдөр
67	MNCLW00068	банкны тухай хуульд нэмэлт, өөрчлөлт оруулах тухай хуулийг дагаж мөрдөх журмын тухай	2018 оны 1 дүгээр сарын 18-ны өдөр
68	MNCLW00069	банкны тухай	2010 оны 1 дүгээр сарын 28-ны өдөр
69	MNCLW00070	банк, эрх бүхий хуулийн этгээдийн мөнгөн хадгаламж, мөнгөн хөрөнгийн шилжүүлэг, зээлийн үйл ажиллагааны тухай хууль	2021 оны 05 сарын 21 өдөр
70	MNCLW00071	банк, эрх бүхий хуулийн этгээдийн мөнгөн хадгаламж, мөнгөн хөрөнгийн шилжүүлэг, зээлийн үйл ажиллагааны тухай	2021 оны 05 сарын 21 өдөр
71	MNCLW00072	банк, эрх бүхий хуулийн этгээдийн мөнгөн хадгаламж, төлбөр тооцоо, зээлийн үйл ажиллагааны тухай	2021 оны 05 сарын 21 өдөр
72	MNCLW00073	барааны тэмдэг, газар зүйн заалтын тухай	2010 оны 6 дугаар сарын 10-ны өдөр
73	MNCLW00074	барилгын тухай хууль хүчингүй болсонд тооцох тухай	2016 оны 2 дугаар сарын 05-ны өдөр
74	MNCLW00075	барилгын тухай хууль /шинэчилсэн найруулга/-ийг дагаж мөрдөх журмын тухай	2016 оны 2 дугаар сарын 05-ны өдөр
75	MNCLW00076	барилгын тухай	2016 оны 2 дугаар сарын 05-ны өдөр
76	MNCLW00077	баяжуулсан хүнсний тухай	2018 оны 5 дугаар сарын 03-ны өдөр
77	MNCLW00078	биеийн тамир, спортын тухай хууль хүчингүй болсонд тооцох тухай	2017 оны 07 дүгээр сарын 06-ны өдөр
78	MNCLW00079	биеийн тамир, спортын тухай	2017 оны 07 сарын 06 өдөр
79	MNCLW00080	бнмау-ын засгийн газарт эрх олгох тухай	1991 оны 1 дүгээр сарын 4-ний өдөр
80	MNCLW00081	боловсролын тухай	2002 оны 5 дугаар сарын 03-ны өдөр
81	MNCLW00082	нэгдүгээр бүлэг	улаанбаатар хот
82	MNCLW00083	бүсчилсэн хөгжлийн удирдлага зохицуулалтын тухай	2003 оны 5 дугаар сарын 30-ны өдөр
83	MNCLW00084	бууны албан татварын тухай хууль хүчингүй болсонд тооцох тухай	2015 оны 8 дугаар сарын 7-ны өдөр
84	MNCLW00085	валютын зохицуулалтын тухай	1994 оны 05 дугаар сарын 12-ны өдөр
85	MNCLW00086	векселийн тухай	1995 оны 11 дүгээр сарын 2-ны өдөр
86	MNCLW00087	виртуал хөрөнгийн үйлчилгээ үзүүлэгчийн тухай	2021 оны 12 сарын 17 өдөр
87	MNCLW00088	гаалийн албан татвараас чөлөөлөх тухай	2014 оны 1 дүгээр сарын 16-ны өдөр
88	MNCLW00089	гаалийн албан татвараас чөлөөлөх тухай	2014 оны 1 дүгээр сарын 24-ний өдөр
89	MNCLW00090	гаалийн албан татвараас чөлөөлөх тухай	2001 оны 10 дугаар сарын 18-ны өдөр
90	MNCLW00091	гаалийн албан татвараас чөлөөлөх тухай	2005 оны 2 дугаар сарын 24-ны өдөр
91	MNCLW00092	гаалийн албан татвараас чөлөөлөх тухай	2003 оны 12 дугаар сарын 26-ны өдөр
92	MNCLW00093	гаалийн албан татвараас чөлөөлөх тухай	2004 оны 04 дүгээр сарын 22-ны өдөр
93	MNCLW00094	гаалийн албан татвараас чөлөөлөх тухай	2005 оны 03 дугаар сарын 18-ны өдөр
94	MNCLW00095	гаалийн албан татвараас чөлөөлөх тухай	2002 оны 6 дугаар сарын 6-ны өдөр
95	MNCLW00096	гаалийн албан татвараас чөлөөлөх тухай	2000 оны 7 дугаар сарын 26-ны өдөр
96	MNCLW00097	гаалийн албан татвараас чөлөөлөх тухай	2000 оны 12 дугаар сарын 07-ны өдөр
97	MNCLW00098	гаалийн албан татвараас чөлөөлөх тухай	2012 оны 2 дугаар сарын 16-ны өдөр
98	MNCLW00099	гаалийн албан татвараас	2013 оны 6 дугаар сарын 7-ны өдөр
99	MNCLW00100	гаалийн албан татвараас чөлөөлөх тухай	2014 оны 5 дугаар сарын 09-ний өдөр
100	MNCLW00101	гаалийн албан татвараас чөлөөлөх тухай	2018 оны 1 дүгээр сарын 12-ны өдөр
101	MNCLW00102	гаалийн албан татвараас чөлөөлөх тухай	2015 оны 12 дугаар сарын 25-ны өдөр
102	MNCLW00103	гаалийн албан татвараас чөлөөлөх тухай	2012 оны 2 дугаар сарын 16-ны өдөр
103	MNCLW00104	гаалийн албан татвараас чөлөөлөх тухай	2016 оны 2 дугаар сарын 05-ны өдөр
104	MNCLW00105	гаалийн албан татвараас чөлөөлөх тухай	2009 оны 10 дугаар сарын 30-ны өдөр
105	MNCLW00106	гаалийн албан татвараас чөлөөлөх тухай	2020 оны 04 сарын 09 өдөр
106	MNCLW00107	гаалийн албан татвараас чөлөөлөх тухай	2017 оны 11 дүгээр сарын 30-ны өдөр
107	MNCLW00108	гаалийн албан татвараас	2013 оны 6 дугаар сарын 7-ны өдөр
108	MNCLW00109	гаалийн албан татвараас чөлөөлөх тухай	2017 оны 12 дугаар сарын 22-ны өдөр
109	MNCLW00110	гаалийн албан татвараас чөлөөлөх тухай	2018 оны 5 дугаар сарын 10-ны өдөр
110	MNCLW00111	гаалийн албан татвараас чөлөөлөх тухай	2014 оны 5 дугаар сарын 09-ний өдөр
111	MNCLW00112	гаалийн албан татвараас чөлөөлөх тухай	2011 оны 12 дугаар сарын 9-ний өдөр
112	MNCLW00113	гаалийн албан татвараас чөлөөлөх тухай	2020 оны 04 сарын 09 өдөр
