	doc_id	doc_title	doc_desc	doc_link
0	MNCLW00001	авлигын эсрэг хуулийн зарим заалтыг дагаж мөрдөх журмын тухай	2007 оны 2 дугаар сарын 06-ны өдөр	https://legalinfo.mn/mn/detail?lawId=1
1	MNCLW00002	авлигын эсрэг хууль	2006 оны 7 дугаар сарын 6-ны өдөр	https://legalinfo.mn/mn/detail?lawId=8928
2	MNCLW00003	автобензин, дизелийн түлшний албан татварын тухай	1995 оны 6 дугаар сарын 2-ны өдөр	https://legalinfo.mn/mn/detail?lawId=28
3	MNCLW00004	авто замын тухай	2017 оны 5 дугаар сарын 11-ний өдөр	https://legalinfo.mn/mn/detail?lawId=12656
4	MNCLW00005	автотээврийн тухай	1999 оны 6 дугаар сарын 4-ний өдөр	https://legalinfo.mn/mn/detail?lawId=29
5	MNCLW00006	агаарын бохирдлын төлбөрийн тухай	2010 оны 6 дугаар сарын 24-ны өдөр	https://legalinfo.mn/mn/detail?lawId=30
6	MNCLW00007	агаарын зайг нисэхэд ашиглах тухай	2003 оны 5 дугаар сарын 30-ны өдөр	https://legalinfo.mn/mn/detail?lawId=31
7	MNCLW00008	агаарын тухай хуулийг хүчингүй болсонд тооцох тухай	2012 оны 5 дугаар сарын 17-ны өдөр	https://legalinfo.mn/mn/detail?lawId=9384
8	MNCLW00009	агаарын тухай	2012 оны 5 дугаар сарын 17-ны өдөр	https://legalinfo.mn/mn/detail?lawId=8669
9	MNCLW00010	агнуурын нөөц ашигласны төлбөр, ан амьтан агнах, барих зөвшөөрлийн хураамжийн тухай хуулийг хүчингүй болсонд тооцох тухай	2012 оны 5 дугаар сарын 17-ны өдөр	https://legalinfo.mn/mn/detail?lawId=9395
10	MNCLW00011	аж ахуйн нэгжийн орлогын албан татвараас хөнгөлөх, чөлөөлөх тухай	2020 оны 04 сарын 09 өдөр	https://legalinfo.mn/mn/detail?lawId=15239
11	MNCLW00012	аж ахуйн нэгжийн орлогын албан татварын тухай хууль хүчингүй болсонд тооцох тухай	2019 оны 03 сарын 22 өдөр	https://legalinfo.mn/mn/detail?lawId=14408
12	MNCLW00013	аж ахуйн нэгжийн орлогын албан татварын тухай хууль	2019 оны 03 сарын 22 өдөр	https://legalinfo.mn/mn/detail?lawId=14409
13	MNCLW00014	аж ахуйн нэгжийн орлогын албан татварын тухай	2019 оны 03 сарын 22 өдөр	https://legalinfo.mn/mn/detail?lawId=14407
14	MNCLW00015	аж ахуйн үйл ажиллагааны тусгай зөвшөөрлийн тухай хууль хүчингүй болсонд тооцох тухай	2022 оны 06 сарын 17 өдөр	https://legalinfo.mn/mn/detail?lawId=16530780345651
